l1,l2,l3,tok_type,whitespace,vocab_size,est_r1,est_r2,est_r3,pred_ctc_azj_Latn,pred_ctc_lvs_Latn,pred_ctc_plt_Latn,pred_ctc_std,pred_ctc_range,r2_azj_Latn,r2_lvs_Latn,r2_plt_Latn,converged,obs_best_r1,obs_best_r2,obs_best_r3,n_ratios,pred_ctc_bul_Cyrl,pred_ctc_ron_Latn,pred_ctc_mar_Deva,r2_bul_Cyrl,r2_ron_Latn,r2_mar_Deva,pred_ctc_dan_Latn,pred_ctc_zsm_Latn,r2_dan_Latn,r2_zsm_Latn,pred_ctc_gle_Latn,pred_ctc_cym_Latn,pred_ctc_swh_Latn,r2_gle_Latn,r2_cym_Latn,r2_swh_Latn,pred_ctc_jpn_Jpan,pred_ctc_arz_Arab,pred_ctc_ben_Beng,r2_jpn_Jpan,r2_arz_Arab,r2_ben_Beng,pred_ctc_kat_Geor,pred_ctc_hye_Armn,pred_ctc_ell_Grek,r2_kat_Geor,r2_hye_Armn,r2_ell_Grek,pred_ctc_lao_Laoo,pred_ctc_pap_Latn,r2_lao_Laoo,r2_pap_Latn,pred_ctc_lit_Latn,pred_ctc_kmr_Latn,pred_ctc_glg_Latn,r2_lit_Latn,r2_kmr_Latn,r2_glg_Latn,pred_ctc_nob_Latn,pred_ctc_khk_Cyrl,pred_ctc_tat_Cyrl,r2_nob_Latn,r2_khk_Cyrl,r2_tat_Cyrl
azj_Latn,lvs_Latn,plt_Latn,bpe,whitespace,65536,1,1,98,62248.3,63127.7,63652.5,579.3,1404.2,0.9,0.8906,0.8837,True,10,10,80,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bul_Cyrl,ron_Latn,mar_Deva,bpe,whitespace,65536,33,42,25,,,,47.4,113.3,,,,True,20,60,20,13,64679.0,64792.3,64713.8,0.8912,0.9007,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dan_Latn,azj_Latn,zsm_Latn,bpe,whitespace,65536,40,40,20,57084.0,,,2499.4,6108.1,0.899,,,True,50,40,10,13,,,,,,,59778.2,53670.1,0.8974,0.8666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gle_Latn,cym_Latn,swh_Latn,bpe,whitespace,65536,40,40,20,,,,4110.3,9175.5,,,,True,50,40,10,13,,,,,,,,,,,66273.9,65275.4,57098.4,0.8777,0.8825,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jpn_Jpan,arz_Arab,ben_Beng,bpe,whitespace,65536,8,17,75,,,,83.0,190.9,,,,True,10,10,80,13,,,,,,,,,,,,,,,,,60120.1,60085.1,60276.0,0.8998,0.9033,0.8834,,,,,,,,,,,,,,,,,,,,,,
kat_Geor,hye_Armn,ell_Grek,bpe,whitespace,65536,20,20,60,,,,696.0,1494.0,,,,True,20,20,60,13,,,,,,,,,,,,,,,,,,,,,,,64721.5,64757.3,63263.3,0.8971,0.8954,0.8892,,,,,,,,,,,,,,,,
lao_Laoo,pap_Latn,jpn_Jpan,bpe,whitespace,65536,14,73,13,,,,106.2,244.6,,,,True,10,80,10,13,,,,,,,,,,,,,,,,,61555.6,,,0.8906,,,,,,,,,61311.0,61356.9,0.912,0.9014,,,,,,,,,,,,
lit_Latn,kmr_Latn,glg_Latn,bpe,whitespace,65536,1,62,37,,,,364.1,833.6,,,,True,10,50,40,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60640.1,61473.7,61331.5,0.892,0.9228,0.8931,,,,,,
nob_Latn,khk_Cyrl,tat_Cyrl,bpe,whitespace,65536,34,33,33,,,,867.3,1995.1,,,,True,34,33,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58052.9,56057.7,57687.3,0.8906,0.9087,0.9099
zsm_Latn,pap_Latn,swh_Latn,bpe,whitespace,65536,1,98,1,,,,2063.6,4416.0,,,,True,10,80,10,13,,,,,,,,53806.8,,0.8598,,,58144.8,,,0.8855,,,,,,,,,,,,,,58222.8,,0.8809,,,,,,,,,,,,
